Title,Genre,Actors,Recom
Skyscraper,"Action, Adventure, Thriller","Dwayne Johnson, Neve Campbell, Chin Han, Roland Møller, Noah Taylor, Byron Mann, Pablo Schreiber, McKenna Roberts, Noah Cottrell, Hannah Quinlivan, Adrian Holmes, Elfina Luk, Kevin Rankin, Gretal Montgomery, Jett Klyne, Kayden Magnuson, Byron Lawson, Jason William Day","Rampage, San Andreas, Jumanji: Welcome to the Jungle, Central Intelligence, Jumanji: The Next Level, Baywatch, Fast & Furious Presents: Hobbs & Shaw, The Fate of the Furious, Furious 7, Hercules, Fast & Furious 6, G.I. Joe: Retaliation"
Jungle Cruise,"Action, Adventure, Comedy","Dwayne Johnson, Emily Blunt, Edgar Ramírez, Jack Whitehall, Jesse Plemons, Paul Giamatti, Veronica Falcón, Dani Rovira, Quim Gutiérrez, Dan Dargan Carter, Andy Nyman, Raphael Alejandro, Simone Lockhart, Pedro Lopez, Sulem Calderon, Sebastian Blunt, Mark Ashworth, Allan Poppleton","Jumanji: The Next Level, Red Notice, Jumanji: Welcome to the Jungle, Free Guy, Skyscraper, Hitman's Wife's Bodyguard, Cruella, The Shallows, Run All Night, Central Intelligence, Black Widow, Jungle Cruise 2"
San Andreas,"Action, Adventure, Thriller","Dwayne Johnson, Carla Gugino, Alexandra Daddario, Colton Haynes, Ioan Gruffudd, Archie Panjabi, Paul Giamatti, Hugo Johnstone-Burt, Art Parkinson, Will Yun Lee, Kylie Minogue, Todd Williams, Matt Gerald, Alec Utgoff, Marissa Neitling, Morgan Griffin, Breanne Hill, Laurence Coy","Skyscraper, Rampage, Jumanji: Welcome to the Jungle, Central Intelligence, Furious 7, Fast & Furious Presents: Hobbs & Shaw, 2012, The Fate of the Furious, Jumanji: The Next Level, San Andreas 2, Fast & Furious 6, Baywatch"
Kong: Skull Island,"Action, Adventure, Fantasy","Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly, John Goodman, Corey Hawkins, John Ortiz, Tian Jing, Toby Kebbell, Jason Mitchell, Shea Whigham, Thomas Mann, Eugene Cordero, Marc Evan Jackson, Will Brittain, Miyavi, Richard Jenkins, Allyn Rachel","Godzilla, Godzilla: King of the Monsters, Godzilla vs. Kong, King Kong, Rampage, Jurassic World, Pacific Rim, Jumanji: Welcome to the Jungle, War for the Planet of the Apes, Rise of the Planet of the Apes, Dawn of the Planet of the Apes, Transformers"
The Fate of the Furious,"Action, Crime, Thriller","Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez, Tyrese Gibson, Ludacris, Charlize Theron, Kurt Russell, Nathalie Emmanuel, Luke Evans, Elsa Pataky, Kristofer Hivju, Scott Eastwood, Patrick St. Esprit, Janmarco Santiago, Luke Hawx, Corey Maher, Olek Krupa","Furious 7, Fast & Furious 6, Fast Five, Fast & Furious, Fast & Furious Presents: Hobbs & Shaw, F9, The Fast and the Furious, The Fast and the Furious: Tokyo Drift, 2 Fast 2 Furious, Fast & Furious 6: Take Control, Fast and the Furious: Tokyo Drift - The Japanese Way, Fast & Furious 8"
Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi","Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith, Daniella Pineda, James Cromwell, Toby Jones, Ted Levine, Jeff Goldblum, BD Wong, Geraldine Chaplin, Isabella Sermon, Robert Emms, Peter Jason, Kevin Layne, John Schwab, Sam Redford, Charlie Rawes","Jurassic World, The Lost World: Jurassic Park, Jurassic Park III, Jurassic World Dominion, Jurassic Park, Kong: Skull Island, Godzilla: King of the Monsters, Godzilla, Jumanji: Welcome to the Jungle, Jurassic World: The Ride, Jumanji: The Next Level, Godzilla vs. Kong"
Fast & Furious 6,"Action, Crime, Thriller","Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson, Sung Kang, Gal Gadot, Ludacris, Luke Evans, Elsa Pataky, Gina Carano, Clara Paget, Kim Kold, Joe Taslim, Samuel M. Stewart, Benjamin Davies, Matthew Stirling","Fast Five, Furious 7, The Fate of the Furious, Fast & Furious, The Fast and the Furious, The Fast and the Furious: Tokyo Drift, 2 Fast 2 Furious, Fast & Furious Presents: Hobbs & Shaw, F9, Fast & Furious 6: Take Control, Fast and the Furious: Tokyo Drift - The Japanese Way, The Turbo Charged Prelude for 2 Fast 2 Furious"
Furious 7,"Action, Crime, Thriller","Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson, Ludacris, Lucas Black, Kurt Russell, Nathalie Emmanuel, Elsa Pataky, Gal Gadot, John Brotherton, Luke Evans, Tony Jaa, Djimon Hounsou, Noel Gugliemi","Fast & Furious 6, The Fate of the Furious, Fast Five, Fast & Furious, The Fast and the Furious, The Fast and the Furious: Tokyo Drift, 2 Fast 2 Furious, F9, Fast & Furious Presents: Hobbs & Shaw, Fast & Furious 6: Take Control, Fast and the Furious: Tokyo Drift - The Japanese Way, San Andreas"
Baywatch,"Action, Comedy, Crime","Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra Jonas, Kelly Rohrbach, Ilfenesh Hadera, Jon Bass, Yahya Abdul-Mateen II, Hannibal Buress, Rob Huebel, Amin Joseph, Jack Kesy, Oscar Nuñez, David Hasselhoff, Pamela Anderson, Clem Cheung, Belinda Peregrín, Charlotte McKinney","Central Intelligence, Jumanji: Welcome to the Jungle, Skyscraper, San Andreas, Jumanji: The Next Level, Rampage, Baywatch, Fast & Furious Presents: Hobbs & Shaw, Dirty Grandpa, The Fate of the Furious, Furious 7, Neighbors 2: Sorority Rising"
Hercules,"Action, Adventure, Fantasy","Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes, Rufus Sewell, Aksel Hennie, Ingrid Bolsø Berdal, Reece Ritchie, Tobias Santelmann, Peter Mullan, Rebecca Ferguson, Isaac Andrews, Joe Anderson, Stephen Peacocke, Nicholas Moss, Robert Whitelock, Irina Shayk, Christopher Fairbank","Prince of Persia: The Sands of Time, Rampage, Jack the Giant Slayer, Dracula Untold, Wrath of the Titans, Immortals, Clash of the Titans, San Andreas, Hansel & Gretel: Witch Hunters, Van Helsing, 300: Rise of an Empire, Warcraft"
G.I. Joe: Retaliation,"Action, Adventure, Sci-Fi","Dwayne Johnson, Channing Tatum, Adrianne Palicki, Lee Byung-hun, Jonathan Pryce, Elodie Yung, Ray Stevenson, D.J. Cotrona, Ray Park, Luke Bracey, Walton Goggins, Arnold Vosloo, Joseph Mazzello, Nick Erickson, RZA, Naim Alherimi, Ravi Naidu, Matt Gerald","G.I. Joe: The Rise of Cobra, Snake Eyes: G.I. Joe Origins, G.I. Joe: The Invasion of Cobra Island, G.I. Joe: Ever Vigilant, Skyscraper, Hercules, Fast & Furious 6, The Expendables 2, Snitch, Rampage, The Scorpion King, San Andreas"
Prince of Persia: The Sands of Time,"Action, Adventure, Fantasy","Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina, Steve Toussaint, Toby Kebbell, Richard Coyle, Ronald Pickup, Reece Ritchie, Gísli Örn Garðarsson, Claudio Pacifico, Thomas DuPont, Dave Pope, Domonkos Pardanyi, Massimiliano Ubaldi, Vladimir 'Furdo' Furdik, Christopher Greet, William Foster","John Carter, Hansel & Gretel: Witch Hunters, Tron, Van Helsing, Clash of the Titans, Warcraft, Hercules, Real Steel, Jack the Giant Slayer, I Am Number Four, The Mummy Returns, Dracula Untold"
Jack the Giant Slayer,"Action, Adventure, Fantasy","Nicholas Hoult, Stanley Tucci, Ewan McGregor, Bill Nighy, Eleanor Tomlinson, Eddie Marsan, Ewen Bremner, Ian McShane, Christopher Fairbank, Simon Lowe, Mingus Johnston, Ralph Brown, Joy McBrinn, Chris Brailsford, Warwick Davis, Craig Salisbury, Peter Bonner, Lee Boardman","Hansel & Gretel: Witch Hunters, The Huntsman: Winter's War, Hercules, Snow White and the Huntsman, Prince of Persia: The Sands of Time, Warcraft, Dracula Untold, John Carter, The Legend of Tarzan, Clash of the Titans, Wrath of the Titans, I Am Number Four"
Dracula Untold,"Action, Drama, Fantasy","Luke Evans, Dominic Cooper, Sarah Gadon, Art Parkinson, Charles Dance, Diarmaid Murtagh, Paul Kaye, William Houston, Noah Huntley, Ronan Vibert, Zach McGowan, Ferdinand Kingsley, Joseph Long, Thor Kristjansson, Jakub Gierszal, Joe Benjamin, Paul Bullion, Mish Boyko","Hansel & Gretel: Witch Hunters, Van Helsing, Prince of Persia: The Sands of Time, The Huntsman: Winter's War, Underworld, Jack the Giant Slayer, Immortals, Snow White and the Huntsman, Hercules, Dracula, Warcraft, The Chronicles of Riddick"
Wrath of the Titans,"Action, Adventure, Fantasy","Sam Worthington, Liam Neeson, Rosamund Pike, Ralph Fiennes, Edgar Ramírez, Toby Kebbell, Bill Nighy, Danny Huston, John Bell, Lily James, Alejandro Naranjo, Freddy Drabble, Kathryn Carpenter, Matt Milne, Birkett Turton, Sinéad Cusack, Spencer Wilding, Juan Reyes","Clash of the Titans, Immortals, Hercules, Gods of Egypt, Prince of Persia: The Sands of Time, Jack the Giant Slayer, 300: Rise of an Empire, Hansel & Gretel: Witch Hunters, Dracula Untold, The Huntsman: Winter's War, Warcraft, Exodus: Gods and Kings"
Clash of the Titans,"Action, Adventure, Fantasy","Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng, Gemma Arterton, Alexa Davalos, Tine Stapelfeldt, Mads Mikkelsen, Luke Evans, Izabella Miko, Liam Cunningham, Hans Matheson, Ashraf Barhom, Mouloud Achour, Ian Whyte, Nicholas Hoult, Vincent Regan, Polly Walker","Wrath of the Titans, Immortals, Prince of Persia: The Sands of Time, Hercules, Hansel & Gretel: Witch Hunters, Jack the Giant Slayer, Gods of Egypt, Dracula Untold, 300: Rise of an Empire, Van Helsing, Snow White and the Huntsman, The Huntsman: Winter's War"
Immortals,"Action, Drama, Fantasy","Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff, Freida Pinto, Luke Evans, Joseph Morgan, Anne Day-Jones, Greg Bryk, Alan Van Sprang, Peter Stebbings, Daniel Sharman, Isabel Lucas, Kellan Lutz, Steve Byers, Stephen McHattie, Matthew G. Taylor, Romano Orzari","Clash of the Titans, Wrath of the Titans, Dracula Untold, Prince of Persia: The Sands of Time, Hercules, Hansel & Gretel: Witch Hunters, 300: Rise of an Empire, The Cold Light of Day, Jack the Giant Slayer, Warcraft, Van Helsing, Gods of Egypt"
Hansel & Gretel: Witch Hunters,"Action, Fantasy, Horror","Jeremy Renner, Gemma Arterton, Peter Stormare, Famke Janssen, Pihla Viitala, Derek Mears, Robin Atkin Downes, Ingrid Bolsø Berdal, Joanna Kulig, Thomas Mann, Bjørn Sundquist, Rainer Bock, Thomas Scharff, Kathrin Kühnel, Cedric Eich, Alea Sophia Boudodimos, Matthias Ziesing, Sebastian Hülk","Snow White and the Huntsman, The Huntsman: Winter's War, Prince of Persia: The Sands of Time, Dracula Untold, Van Helsing, Jack the Giant Slayer, I Am Number Four, Underworld, John Carter, Hansel & Gretel: Witch Hunters 2, Clash of the Titans, Riddick"
Van Helsing,"Action, Adventure, Fantasy","Hugh Jackman, Kate Beckinsale, Richard Roxburgh, Shuler Hensley, David Wenham, Elena Anaya, Will Kemp, Kevin J. O'Connor, Alun Armstrong, Silvia Colloca, Josie Maran, Tom Fisher, Samuel West, Robbie Coltrane, Stephen Fisher, Dana Morávková, Zuzana Durdinová, Jaroslav Vízner","Underworld, The Mummy Returns, Hellboy, Underworld: Evolution, Hellboy II: The Golden Army, The Mummy, Underworld: Rise of the Lycans, Blade, Blade II, The Chronicles of Riddick, Van Helsing: The London Assignment, Underworld: Awakening"
300: Rise of an Empire,"Action, Drama","Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Callan Mulvey, David Wenham, Rodrigo Santoro, Jack O'Connell, Andrew Tiernan, Igal Naor, Andrew Pleavin, Peter Mensah, Ben Turner, Ashraf Barhom, Christopher Sciueref, Steven Cree, Caitlin Carmichael, Jade Chynoweth","300, Troy, 300: The Resurgence, Last Stand of the 300, Kingdom of Heaven, The Last Samurai, Hancock, World War Z, I, Robot, I Am Legend, The 300 Spartans, Prince of Persia: The Sands of Time"
Warcraft,"Action, Adventure, Fantasy","Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper, Toby Kebbell, Ben Schnetzer, Robert Kazinsky, Clancy Brown, Daniel Wu, Ruth Negga, Anna Galvin, Callum Keith Rennie, Burkely Duffield, Ryan Robbins, Dean Redman, Glenn Ennis, Terry Notary, Elena Wurlitzer","Prince of Persia: The Sands of Time, John Carter, Jack the Giant Slayer, The Huntsman: Winter's War, Hansel & Gretel: Witch Hunters, Ender's Game, Pacific Rim, Van Helsing, Dracula Untold, Warcraft III: Reforged, Ghost in the Shell, Tron"
John Carter,"Action, Adventure, Sci-Fi","Taylor Kitsch, Lynn Collins, Willem Dafoe, Samantha Morton, Thomas Haden Church, Mark Strong, Ciarán Hinds, Dominic West, James Purefoy, Bryan Cranston, Polly Walker, Daryl Sabara, Arkie Reece, Davood Ghadami, Pippa Nixon, James Embree, Philip Philmar, Figs Jackman","Prince of Persia: The Sands of Time, Tron, Ender's Game, Cowboys & Aliens, Warcraft, Real Steel, The Chronicles of Riddick, John Carter: 100 Years in the Making, Hansel & Gretel: Witch Hunters, Riddick, I Am Number Four, Jumper"
Tron,"Action, Adventure, Sci-Fi","Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner, James Frain, Beau Garrett, Michael Sheen, Anis Cheurfa, Serinda Swan, Yaya DaCosta, Elizabeth Mathis, Yurij Kis, Conrad Coates, Daft Punk, Ron Selmour, Dan Joffre, Darren Dolynski, Kofi Yiadom","TRON, Real Steel, Pacific Rim, John Carter, Ender's Game, Prince of Persia: The Sands of Time, Chappie, Elysium, Jumper, Cowboys & Aliens, I, Robot, Oblivion"
Real Steel,"Action, Drama, Sci-Fi","Hugh Jackman, Evangeline Lilly, Dakota Goyo, Anthony Mackie, Kevin Durand, Hope Davis, James Rebhorn, Karl Yune, Olga Fonda, John Gatins, Sophie Levy, Tess Levy, Charlie Levy, Gregory Sims, Torey Adkins, Tom Carlson, John Hawkinson, David Alan Basche","Pacific Rim, Chappie, Transformers, Hancock, I, Robot, Transformers: Dark of the Moon, Tron, I Am Legend, Lucy, Rise of the Planet of the Apes, World War Z, The Maze Runner"
I Am Number Four,"Action, Adventure, Sci-Fi","Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer, Callan McAuliffe, Kevin Durand, Jake Abel, Jeff Hochendoner, Patrick Sebes, Greg Townley, Reuben Langdon, Emily Wickersham, Molly McGinnis, Brian Howe, Andy Owen, Sophia Anne Caruso, Charles Carroll, L. Derek Leonidoff","Jumper, Prince of Persia: The Sands of Time, John Carter, Hansel & Gretel: Witch Hunters, Ender's Game, Cowboys & Aliens, I am Number 7, I Am Number 4: Becoming Number 6, Tron, Warm Bodies, Snow White and the Huntsman, The Huntsman: Winter's War"
The Mummy Returns,"Action, Adventure, Fantasy","Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo, Oded Fehr, Patricia Velasquez, Freddie Boath, Alun Armstrong, Dwayne Johnson, Adewale Akinnuoye-Agbaje, Shaun Parkes, Bruce Byron, Joe Dixon, Tom Fisher, Aharon Ipalé, Quill Roberts, Donna Air, Trevor Lovell","The Mummy, The Mummy: Tomb of the Dragon Emperor, The Scorpion King, Van Helsing, Hellboy, Underworld, National Treasure, Hellboy II: The Golden Army, National Treasure: Book of Secrets, Underworld: Evolution, Blade II, The Chronicles of Riddick"
Ender's Game,"Action, Adventure, Sci-Fi","Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin, Ben Kingsley, Viola Davis, Aramis Knight, Suraj Partha, Moises Arias, Khylin Rhambo, Jimmy 'Jax' Pinchak, Nonso Anozie, Conor Carroll, Caleb J. Thaggard, Cameron Gaskins, Stevie Ray Dallimore, Andrea Powell, Brandon Soo Hoo","John Carter, Tron, Valerian and the City of a Thousand Planets, Real Steel, Cowboys & Aliens, Pacific Rim, Jumper, I Am Number Four, Prince of Persia: The Sands of Time, Chappie, Ghost in the Shell, Total Recall"
Cowboys & Aliens,"Action, Sci-Fi, Thriller","Daniel Craig, Harrison Ford, Olivia Wilde, Abigail Spencer, Buck Taylor, Matthew Taylor, Cooper Taylor, Clancy Brown, Paul Dano, Chris Browning, Adam Beach, Sam Rockwell, Ana de la Reguera, Noah Ringer, Brian Duffy, Keith Carradine, Brendan Wayne, Gavin Grazer","John Carter, Ender's Game, Tron, Total Recall, The Chronicles of Riddick, I Am Number Four, Prince of Persia: The Sands of Time, Riddick, Hansel & Gretel: Witch Hunters, Jumper, The Incredible Burt Wonderstone, The Lazarus Effect"
The Chronicles of Riddick,"Action, Adventure, Sci-Fi","Vin Diesel, Judi Dench, Colm Feore, Thandiwe Newton, Karl Urban, Alexa Davalos, Linus Roache, Yorick van Wageningen, Nick Chinlund, Keith David, Mark Gibbon, Roger Cross, Terry Chen, Christina Cox, Nigel Vonas, Shawn Reis, Fabian Gujral, Ty Olsson","Riddick, Pitch Black, Underworld, Into Pitch Black, Hellboy, Hellboy II: The Golden Army, Blade II, Underworld: Evolution, Van Helsing, Blade, The Mummy Returns, The Chronicles of Riddick: Dark Fury"
Riddick,"Action, Adventure, Sci-Fi","Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Mollà, Matt Nable, Dave Bautista, Bokeem Woodbine, Raoul Max Trujillo, Conrad Pla, Danny Blanco Hall, Noah Dalton Danby, Neil Napier, Nolan Gerard Funk, Andreas Apergis, Keri Hilson, Charlie Marie Dupont, Jan Gerste, Antoinette Kalaj","The Chronicles of Riddick, Pitch Black, Into Pitch Black, Underworld, Riddick: Blindsided, Furya, The Chronicles of Riddick: Dark Fury, Hellboy, Underworld: Evolution, Blade II, Hellboy II: The Golden Army, Underworld: Rise of the Lycans"
Jumper,"Action, Adventure, Sci-Fi","Hayden Christensen, Samuel L. Jackson, Jamie Bell, Rachel Bilson, Diane Lane, Michael Rooker, AnnaSophia Robb, Max Thieriot, Jesse James, Tom Hulce, Kristen Stewart, Teddy Dunn, Barbara Garrick, Michael Winther, Massimiliano Pazzaglia, Shawn Roberts, Nathalie Cox, Meredith Henderson","I Am Number Four, Tron, Ender's Game, In Time, Prince of Persia: The Sands of Time, Real Steel, John Carter, Cowboys & Aliens, Total Recall, Jumper, The Last Man, Chappie"
Valerian and the City of a Thousand Planets,"Action, Adventure, Fantasy","Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna, Ethan Hawke, Herbie Hancock, Kris Wu, Sam Spruell, Alain Chabat, Rutger Hauer, Peter Hudson, Xavier Giannoli, Louis Leterrier, Eric Rochant, Benoît Jacquot, Olivier Megaton, Gérard Krawczyk, Pierre Cachia","Ghost in the Shell, Mortal Engines, Ender's Game, Alita: Battle Angel, Lucy, John Carter, Valerian, Ready Player One, June and John, Warcraft, Bright, Tron"
Pacific Rim,"Action, Adventure, Sci-Fi","Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day, Diego Klattenhoff, Burn Gorman, Max Martini, Robert Kazinsky, Clifton Collins Jr., Ron Perlman, Brad William Henke, Larry Joe Campbell, Mana Ashida, Santiago Segura, Joe Pingue, Milton Barnes, Brian Frank, Ellen McLain","Pacific Rim: Uprising, Real Steel, Transformers, Godzilla, Kong: Skull Island, Transformers: Dark of the Moon, Chappie, Bumblebee, Hellboy, Rise of the Planet of the Apes, I, Robot, Godzilla: King of the Monsters"
Chappie,"Action, Crime, Drama","Sharlto Copley, Dev Patel, Hugh Jackman, Sigourney Weaver, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Anderson Cooper, Maurice Carpede, Jason Cope, Kevin Otto, Chris Shields, Bill Marchant, Robert Hobbs, Mark K. Xulu, Sherldon Marema","Elysium, District 9, Real Steel, Pacific Rim, I, Robot, Hancock, Tron, Demonic, Oblivion, Lucy, Conviction, Off the Grid - Switcher Part 1"
Ghost in the Shell,"Action, Crime, Drama","Scarlett Johansson, Pilou Asbæk, Takeshi Kitano, Juliette Binoche, Michael Pitt, Chin Han, Danusia Samal, Lasarus Ratuere, Yutaka Izumihara, Tawanda Manyimo, Peter Ferdinando, Anamaria Marinca, Daniel Henshall, Mana Hira Davis, Erroll Anderson, Kai Fung Rieck, Andrew Stehlin, Matthias Luafutu","Valerian and the City of a Thousand Planets, Lucy, Kôkaku Kidôtai, Alita: Battle Angel, Ender's Game, Mortal Engines, Warcraft, Chappie, Tron, John Carter, Ready Player One, Elysium"
Total Recall,"Action, Adventure, Sci-Fi","Colin Farrell, Bokeem Woodbine, Bryan Cranston, Kate Beckinsale, Jessica Biel, Bill Nighy, John Cho, Will Yun Lee, Milton Barnes, James McGowan, Natalie Lisinska, Michael Therriault, Stephen MacDonald, Mishael Morgan, LinLyn Lue, Dylan Smith, Andrew Moodie, Kaitlyn Leeb","RoboCop, Total Recall, Cowboys & Aliens, The Chronicles of Riddick, Riddick, John Carter, The Island, Jumper, Prince of Persia: The Sands of Time, Underworld, Ender's Game, Elysium"
Mortal Engines,"Action, Adventure, Fantasy","Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae, Ronan Raftery, Leila George, Patrick Malahide, Stephen Lang, Colin Salmon, Mark Mitchinson, Regé-Jean Page, Menik Gooneratne, Frankie Adams, Leifur Sigurðarson, Kahn West, Andrew Lees, Sophie Cox, Kee Chan","Valerian and the City of a Thousand Planets, Alita: Battle Angel, Ghost in the Shell, Ender's Game, Into Thin Air, Warcraft, John Carter, Pacific Rim, Vonarstræti, Svar við bréfi Helgu, Ready Player One, The Mortal Instruments: City of Bones"
Alita: Battle Angel,"Action, Adventure, Sci-Fi","Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Jorge Lendeborg Jr., Lana Condor, Idara Victor, Jeff Fahey, Eiza González, Derek Mears, Leonard Wu, Racer Rodriguez, Marko Zaror, Rick Yune, Hugo Perez","Ready Player One, Valerian and the City of a Thousand Planets, Mortal Engines, Ghost in the Shell, Battle Angel, Bumblebee, Pacific Rim, Real Steel, Ender's Game, Passengers, Gunnm, Lucy"
Ready Player One,"Action, Adventure, Sci-Fi","Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, T.J. Miller, Simon Pegg, Mark Rylance, Philip Zhao, Win Morisaki, Hannah John-Kamen, Ralph Ineson, Susan Lynch, Clare Higgins, Laurence Spellman, Perdita Weeks, Joel MacCormack, Kit Connor, Leo Heller","Alita: Battle Angel, Jumanji: Welcome to the Jungle, Passengers, Real Steel, Me and Earl and the Dying Girl, The Maze Runner, Kingsman: The Secret Service, Pacific Rim, Edge of Tomorrow, Kingsman: The Golden Circle, Deadpool 2, Now You See Me"
Bright,"Action, Fantasy, Thriller","Will Smith, Joel Edgerton, Noomi Rapace, Edgar Ramírez, Lucy Fry, Veronica Ngo, Alex Meraz, Happy Anderson, Ike Barinholtz, Dawn Olivieri, Matt Gerald, Margaret Cho, Joseph Piccuirro, Brad William Henke, Jay Hernandez, Enrique Murciano, Scarlet Spencer, Andrea Navedo","Project Power, The Old Guard, 6 Underground, Extraction, Spenser Confidential, Bad Boys II, Bright 2, Hancock, Bad Boys, Triple Frontier, Bad Boys for Life, Chappie"
Me and Earl and the Dying Girl,"Comedy, Drama, Romance","Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman, Connie Britton, Molly Shannon, Jon Bernthal, Matt Bennett, Katherine Hughes, Masam Holden, Bobb'e J. Thompson, Gavin Dietz, Edward DeBruce III, Natalie Marchelletta, Chelsea Zhang, Marco Zappala, Kaza Marie Ayersman, Etta Cox","It's Kind of a Funny Story, The Kings of Summer, 50/50, The Spectacular Now, Thoroughbreds, The Perks of Being a Wallflower, Ruby Sparks, Sing Street, (500) Days of Summer, The Edge of Seventeen, Submarine, Sound of Metal"
Edge of Tomorrow,"Action, Adventure, Sci-Fi","Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson, Jonas Armstrong, Tony Way, Kick Gurry, Franz Drameh, Dragomir Mrsic, Charlotte Riley, Masayoshi Haneda, Terence Maynard, Noah Taylor, Lara Pulver, Madeleine Mantock, Assly Zandry, Sebastian Blunt, Beth Goddard","Oblivion, World War Z, I Am Legend, The Martian, District 9, I, Robot, Elysium, Minority Report, Limitless, Arrival, Gravity, Looper"
Kingsman: The Golden Circle,"Action, Adventure, Comedy","Taron Egerton, Colin Firth, Mark Strong, Channing Tatum, Edward Holcroft, Gordon Alexander, Hanna Alström, Calvin Demba, Thomas Turgoose, Tobi Bakare, Julianne Moore, Keith Allen, Tom Benedict Knight, Michael Gambon, Sophie Cookson, Björn Granath, Lena Endre, Samantha Coughlan","Kingsman: The Secret Service, The King's Man, John Wick: Chapter 2, Now You See Me, Now You See Me 2, Kingsman: The Secret Service Revealed, John Wick: Chapter 3 - Parabellum, Baby Driver, John Wick, Sherlock Holmes, Deadpool 2, Deadpool"
Deadpool 2,"Action, Adventure, Comedy","Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz, T.J. Miller, Leslie Uggams, Karan Soni, Brianna Hildebrand, Jack Kesy, Eddie Marsan, Shioli Kutsuna, Stefan Kapicic, Randal Reeder, Nikolai Witschl, Thayr Harris, Rob Delaney, Lewis Tan","Deadpool, Guardians of the Galaxy Vol. 2, Guardians of the Galaxy, Ant-Man, Logan, The Avengers, Avengers: Age of Ultron, Captain America: Civil War, Deadpool 3, Captain America: The Winter Soldier, Doctor Strange, Wonder Woman"
Oblivion,"Action, Adventure, Sci-Fi","Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko, Nikolaj Coster-Waldau, Melissa Leo, Zoë Bell, Abigail Lowe, Isabelle Lowe, David Yusel Madison, John L. Armijo, Fileena Bahris, Joanne Bahris, Andrew Breland, Suri Cruise, Z. Dieterich, Paul Gunawan, Julie Hardin","Edge of Tomorrow, Elysium, Minority Report, I, Robot, District 9, World War Z, War of the Worlds, Tron, I Am Legend, Jack Reacher: Never Go Back, Limitless, Hancock"
The Martian,"Adventure, Drama, Sci-Fi","Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara, Jeff Daniels, Michael Peña, Sean Bean, Sebastian Stan, Aksel Hennie, Chiwetel Ejiofor, Benedict Wong, Mackenzie Davis, Donald Glover, Nick Mohammed, Shu Chen, Eddy Ko, Enzo Cilenti, Jonathan Aris","Gravity, The Revenant, Arrival, I Am Legend, The Imitation Game, Life of Pi, Edge of Tomorrow, Dunkirk, World War Z, Mad Max: Fury Road, The Pursuit of Happyness, Fury"
District 9,"Action, Sci-Fi, Thriller","Sharlto Copley, David James, Jason Cope, Nathalie Boltt, Sylvaine Strike, Elizabeth Mkandawie, John Sumner, William Allen Young, Greg Melvill-Smith, Nick Blake, Morena Busa Sesatsa, Themba Nkosi, Mzwandile Nqoba, Barry Strydom, Jed Brophy, Louis Minnaar, Vanessa Haywood, Marian Hooman","Elysium, Chappie, Edge of Tomorrow, Looper, I Am Legend, I, Robot, World War Z, Minority Report, Oblivion, District 10, Limitless, Hancock"
Elysium,"Action, Drama, Sci-Fi","Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga, Diego Luna, Wagner Moura, William Fichtner, Brandon Auret, Josh Blacker, Emma Tremblay, Jose Pablo Cantillo, Maxwell Perry Cotton, Faran Tahir, Adrian Holmes, Jared Keeso, Carly Pope, Ona Grauer, Michael Shanks","District 9, Chappie, Oblivion, I, Robot, Edge of Tomorrow, World War Z, I Am Legend, Hancock, Looper, Pacific Rim, Real Steel, Limitless"
